2021-06-29 08:26:24,"b'RT @Cryptic_Miind: Modi government:\n\nCovid deaths: Look at the percentage, not numbers\n\nVaccination: Look at the numbers, not percentage.'"
2021-06-29 08:26:24,b'RT @sunandasaxena: PM pays tributes to former PM Shri PV Narasimha Rao on his 100th birth anniversary\nhttps://t.co/7CEUg63MB0 via NaMo App\xe2\x80\xa6'
2021-06-29 08:26:23,b'RT @Tushar_KN: Oh yeah Modi Ji \xf0\x9f\x98\x8f\xf0\x9f\xa4\xa3 https://t.co/6cLr5ZA3bC'
2021-06-29 08:26:23,"b""RT @KameshShivhare3: In Modi Ji Rule \nIndia's unemployment in 2020 at worst level in 29 years, shows study\n\nIndia's unemployment rate sharp\xe2\x80\xa6"""
2021-06-29 08:26:22,b'@shashiasha Kuch bhi......Why use word Bhakta.....Modi is not God......'
2021-06-29 08:26:21,"b'@Sanjay_Dixit @myogiadityanath We had a great team of modi, shah and yogi- they all had fire in the belly - yogi is\xe2\x80\xa6 https://t.co/wbdNKDaKzU'"
2021-06-29 08:26:19,"b'RT @mannkibaat: ""The joy of success experienced after a period of struggle is something else!""\n\n- PM Shri Narendra Modi.\n\n#MannKiBaat https\xe2\x80\xa6'"
2021-06-29 08:26:16,b'RT @Raj22841910: Guys please mail pmo modi for SSR justice and say for SSR justice\nPlease Guys aapka ek mail Ssrians ki mehnaat kam kar sak\xe2\x80\xa6'
2021-06-29 08:26:12,b'PM Narendra Modi to chair Cabinet meeting over #JammuKashmir  likely today\n\nDetails on link\n\nhttps://t.co/ihgDXPaVU3'
2021-06-29 08:26:12,b'RT @arhaan54: This sikh girl issue could be the part of the larger evil design(plan) of modi. As already many sikh Organistaions are meetin\xe2\x80\xa6'
2021-06-29 08:26:08,"b""RT @MathiMa02738845: @ndtvfeed Oh.. Come on... This is how Ram Rajya will be. Don't complaint. Just say Jai shriram and keep quite. Modi wi\xe2\x80\xa6"""
2021-06-29 08:26:03,b'RT @amarprasadreddy: I am with Modi Ji.\nWhat about you?'
2021-06-29 08:26:01,"b'RT @AamAadmiParty: ""If Narendra Modi becomes the PM...""\n\n#KejriwalToldYouSo https://t.co/XGUUOOzuku'"
2021-06-29 08:26:00,b'RT @_MohitGahlot_: 7 months and we keep getting stronger. Where there is unity there is always a victory. That unity is what scared CHD. po\xe2\x80\xa6'
2021-06-29 08:26:00,b'RT @eMayank_chaubey: MP Villagers Get Covid-19 Vaccine Jab After Chat With PM Modi\nhttps://t.co/atJciTtEUE https://t.co/MP9DctI1A0'
2021-06-29 08:25:58,b'RT @legalshishya: @pramodrama @Vandana04964810 @chitrapadhi @tejpeer @RMCpost @BJP4India @neelakantha Well said! Both Rahul and Modi are do\xe2\x80\xa6'
2021-06-29 08:25:57,b'RT @BesuraTaansane: Modi cheated - he cleaned up Sabarmati but didnt clean up Yamuna .... therefore Arvind Kejriwal couldnt deliver his pro\xe2\x80\xa6'
2021-06-29 08:25:56,b'RT @amarprasadreddy: I am with Modi Ji.\nWhat about you?'
2021-06-29 08:25:54,"b""@Captain9059 @drramsss Ab jis desh m har achi scheme p protest ho dange ho us desh ko chalana isn't a easy call..I'\xe2\x80\xa6 https://t.co/g3synFk3G2"""
2021-06-29 08:25:54,b'Kejriwal is first wave of Lies and Deceit while Modi crossed 56th wave'
2021-06-29 08:25:50,"b""@RenukaJain6 @pbhushan1 Where did Modi come into all this. PB was as much opposed to UPA as he's to Modi."""
2021-06-29 08:25:49,"b'RT @aquaphobicaries: According to liberals,this was the condition of Adani and Ambani before May 2014..! \nModi made them rich!\nMudi should\xe2\x80\xa6'"
2021-06-29 08:25:49,b'RT @KirenRijiju: Modi government announces stimulus package of Rs 6.28 lakh crore to reinforce Indian economy in fight against COVID-19 pan\xe2\x80\xa6'
2021-06-29 08:25:47,b'PM condoles loss of lives due to an accident in Sirmaur\nhttps://t.co/pxKiYHDowM\n\nvia NaMo App https://t.co/kjlDh4kS2E'
2021-06-29 08:25:46,b'@ArunDeshpande20 @ChowkidarChokra @tmmenon @prasad_perla @sureshseshadri1 @Rajendrap1078 @IndianRajeshNCo\xe2\x80\xa6 https://t.co/H490TVxpPN'
2021-06-29 08:25:46,"b'@AdvMamtaSharma I hambal request to education minister and PM modi sir pls\n private,campartment,and improvement exa\xe2\x80\xa6 https://t.co/kiZO6RCrCY'"
2021-06-29 08:25:43,b'@Akansh37339388 @kdhiraj123 Modi ji is prime minister. Does he owns India?'
